,Unnamed: 0,Link,Check
0,0,https://www.itdashboard.gov/investment-business-case/006-000000129,Baixado
1,1,https://www.itdashboard.gov/investment-business-case/006-000000135,Baixado
2,2,https://www.itdashboard.gov/investment-business-case/006-000000136,Baixado
3,3,https://www.itdashboard.gov/investment-business-case/006-000000165,Baixado
4,4,https://www.itdashboard.gov/investment-business-case/006-000051000,Baixado
5,5,https://www.itdashboard.gov/investment-business-case/006-000312900,Baixado
6,6,https://www.itdashboard.gov/investment-business-case/006-000313000,Baixado
7,7,https://www.itdashboard.gov/investment-business-case/006-000320500,Baixado
8,8,https://www.itdashboard.gov/investment-business-case/006-000380400,Baixado
9,9,https://www.itdashboard.gov/investment-business-case/006-000400100,Baixado
10,10,https://www.itdashboard.gov/investment-business-case/006-000400700,Baixado
11,11,https://www.itdashboard.gov/investment-business-case/006-000400800,Baixado
12,12,https://www.itdashboard.gov/investment-business-case/006-000400900,Baixado
13,13,https://www.itdashboard.gov/investment-business-case/006-000402400,Baixado
14,14,https://www.itdashboard.gov/investment-business-case/006-000403700,Baixado
15,15,https://www.itdashboard.gov/investment-business-case/006-000403900,Baixado
16,16,https://www.itdashboard.gov/investment-business-case/006-000552000,Baixado
17,17,https://www.itdashboard.gov/investment-business-case/006-000805500,Baixado
18,18,https://www.itdashboard.gov/investment-business-case/006-000805600,Baixado
19,19,https://www.itdashboard.gov/investment-business-case/006-000805700,Baixado
20,20,https://www.itdashboard.gov/investment-business-case/009-000353235,Baixado
21,21,https://www.itdashboard.gov/investment-business-case/023-000001020,Baixado
22,22,https://www.itdashboard.gov/investment-business-case/024-000005217,Baixado
